invoice_no,date,total,vendor,filename
SY2M74-545,2009-01-27,143.83,,Template5_Instance101.jpg
Stein-Fernandez,"07-Feb-1998

63041",21.47,State Bank of Texas,Template50_Instance97.jpg
Stein-Fernandez,2021-05-04,438.67,State Bank of California,Template50_Instance94.jpg
1Y3M5d-291,2016-07-25,,,Template5_Instance102.jpg
18-Jan,1999-01-18,677.45,,Template5_Instance0.jpg
INV94037759,2022-10-04,,,Template5_Instance100.jpg
in,2000-06-17,,State Bank of Europe,Template50_Instance98.jpg
3823-367,1997-12-25,1042.62,Bailey Group,Template5_Instance106.jpg
2079-868,1997-11-07,1112.39,,Template5_Instance118.jpg
8Y9M2d-586,2008-11-08,240.45,,Template5_Instance109.jpg
INV,2020-03-09,1076.77,,Template5_Instance114.jpg
INV41733760,2017-07-16,719.48,,Template5_Instance115.jpg
25-Jun,2013-06-25,,ranca,Template5_Instance112.jpg
3Y7M74-728,1998-02-17,473.44,,Template5_Instance107.jpg
INVI96-86,2008-03-07,46.76,,Template5_Instance113.jpg
5Y8M5d-143,1997-10-23,,,Template5_Instance116.jpg
8Y2M84-379,"15-May-2004
INVOICE",,,Template5_Instance12.jpg
INV,2017-01-20,,Bailey Group,Template5_Instance110.jpg
9Y8M6d-036,2005-04-26,318.4,,Template5_Instance11.jpg
INV,2019-12-27,,Bailey Group,Template5_Instance111.jpg
INV,2016-07-30,48.31,,Template5_Instance105.jpg
24-Jul,1995-07-24,818.98,,Template5_Instance104.jpg
15-Nov,"15-Nov-2013
INVOICE",,,Template5_Instance117.jpg
19-Apr,"19-Apr-2020
INVOICE",762.86,,Template5_Instance108.jpg
INV,1994-02-05,,,Template5_Instance119.jpg
22-Oct,"22-Oct-1998
INVOICE",30.76,,Template5_Instance120.jpg
INV,2000-01-08,573.73,,Template5_Instance129.jpg
INV13393333,2008-06-16,685.94,,Template5_Instance121.jpg
09-Apr,1995-04-09,612.8,,Template5_Instance131.jpg
6Y3M50-522,2016-10-25,1057.83,Seaton,Template5_Instance13.jpg
05-Aug,2007-08-05,,Hai company,Template5_Instance135.jpg
8648-102,"18-Mar-2004
Invoice",916.18,,Template5_Instance134.jpg
0261-996,"30-Dec-2001
INVOICE",228.9,,Template5_Instance125.jpg
INV,"02-Nov-2014

Invoice",54.81,Docior,Template5_Instance123.jpg
