filename,Invoice No,Date,Total Amount,Vendor
Template5_Instance102.jpg,1Y3M5d-291,25-Jul-16,1183.48,Bailey Group
Template5_Instance10.jpg,6Y5M64-746,04-Aug-20,564.97,Bailey Group
Template5_Instance100.jpg,INV94037759,04-Oct-2022,56.86,Bailey Group
Template5_Instance1.jpg,655363,13-Apr-08,630.17,Bailey Group
Template5_Instance103.jpg,INV/80-18/089,09-Sep-03,248.05,Bailey Group
Template5_Instance0.jpg,5Y3M7d-590,18-Jan-99,677.33,Bailey Group
Template5_Instance101.jpg,SY2M74-545,27-Jan-09,151.09,Bailey Group
Template5_Instance114.jpg,INV/88-12/170,09-Mar-2020,1076.77,Bailey Group
Template5_Instance106.jpg,3823-367,25-Dec-97,1042.62,Bailey Group
Template5_Instance116.jpg,5Y8M5d-143,23-Oct-97,159.01,Bailey Group
Template5_Instance115.jpg,INV41733760,16-Jul-17,752.03,Bailey Group
Template5_Instance112.jpg,INV37855279,25-Jun-13,701.87,Bailey Group
Template5_Instance105.jpg,INV/83-99/129,30-Jul-16,905.33,Bailey Group
Template5_Instance119.jpg,INV/07-56/604,05-Feb-04,437.39,Bailey Group
Template5_Instance12.jpg,8Y2M84-379,15-May-2004,448.59,Bailey Group
Template5_Instance120.jpg,3Y3M3d-205,22-Oct-98,698.01,Bailey Group
Template5_Instance110.jpg,INV/67-71/814,20-Jan-2017,241.82,Bailey Group
Template5_Instance109.jpg,8Y9M2d-586,08-Nov-08,243.73,Bailey Group
Template5_Instance108.jpg,INV/55-79/951,19-Apr-2020,762.86,Bailey Group
Template5_Instance104.jpg,96M4d-601,24-Jul-95,818.98,Bailey Group
Template5_Instance113.jpg,INVI96-86/692,07-Mar-08,816.02,Bailey Group
Template5_Instance111.jpg,ININV31-33016,,Date: 27-Dec-2019,Amount: 421.21
Template5_Instance11.jpg,9Y8M6d-036,26-Apr-05,318.40,Bailey Group
Template5_Instance118.jpg,2079-868,07-Nov-97,1112.39,Bailey Group
Template5_Instance117.jpg,6598-797,15-Nov-13,796.32,Bailey Group
Template5_Instance107.jpg,3Y7M74-728,17-Feb-98,47.44,Bailey Group
Template5_Instance135.jpg,8184-718,05-Aug-07,88.07,Bailey Group
